frankfurter,sausage,liver loaf,ham,chicken,beef,citrus fruit,tropical fruit,root vegetables,other vegetables,whole milk,butter,curd,yogurt,whipped/sour cream,beverages,soft cheese,hard cheese,cream cheese,mayonnaise,domestic eggs,rolls/buns,roll products,flour,pasta,margarine,specialty fat,sugar,soups,skin care,hygiene articles,candles
frankfurter,root vegetables,butter milk,rolls/buns,semi-finished bread,ready soups,bottled water,misc. beverages,shopping bags,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,meat,whole milk,roll products,flour,pickled vegetables,bottled beer,napkins,shopping bags,,,,,,,,,,,,,,,,,,,,,,,
sausage,onions,rolls/buns,soda,brandy,white wine,chewing gum,napkins,shopping bags,,,,,,,,,,,,,,,,,,,,,,,
root vegetables,whole milk,brown bread,brandy,detergent,dish cleaner,female sanitary products,napkins,shopping bags,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,berries,whole milk,white bread,margarine,fruit/vegetable juice,hygiene articles,napkins,shopping bags,,,,,,,,,,,,,,,,,,,,,,,
pork,tropical fruit,pip fruit,whole milk,whipped/sour cream,detergent,softener,napkins,shopping bags,,,,,,,,,,,,,,,,,,,,,,,
frozen meals,frozen fish,frozen dessert,pastry,canned beer,long life bakery product,waffles,napkins,shopping bags,,,,,,,,,,,,,,,,,,,,,,,
sausage,meat,chicken,pork,other vegetables,sliced cheese,brown bread,newspapers,shopping bags,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,whole milk,butter,pastry,semi-finished bread,coffee,candy,newspapers,shopping bags,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,onions,soft cheese,white bread,pastry,salt,chocolate,newspapers,shopping bags,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,sausage,pork,onions,other vegetables,rolls/buns,semi-finished bread,newspapers,shopping bags,,,,,,,,,,,,,,,,,,,,,,,
hamburger meat,tropical fruit,pip fruit,root vegetables,Instant food products,soda,waffles,newspapers,shopping bags,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,pip fruit,root vegetables,other vegetables,dessert,whipped/sour cream,sliced cheese,pastry,shopping bags,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,citrus fruit,pip fruit,butter milk,beverages,frozen meals,brown bread,pickled vegetables,shopping bags,,,,,,,,,,,,,,,,,,,,,,,
sausage,citrus fruit,tropical fruit,root vegetables,butter milk,brown bread,mustard,popcorn,shopping bags,,,,,,,,,,,,,,,,,,,,,,,
whole milk,butter,curd,frozen vegetables,bottled water,bottled beer,detergent,potted plants,shopping bags,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,UHT-milk,hard cheese,spread cheese,brown bread,pastry,bottled water,seasonal products,shopping bags,,,,,,,,,,,,,,,,,,,,,,,
root vegetables,herbs,other vegetables,yogurt,brandy,salty snack,waffles,skin care,shopping bags,,,,,,,,,,,,,,,,,,,,,,,
dessert,UHT-milk,cream cheese,domestic eggs,brown bread,coffee,bottled water,soda,shopping bags,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,tropical fruit,whole milk,curd,yogurt,domestic eggs,bottled water,soda,shopping bags,,,,,,,,,,,,,,,,,,,,,,,
sausage,pip fruit,whole milk,yogurt,sliced cheese,cream cheese,pastry,soda,shopping bags,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,berries,root vegetables,other vegetables,yogurt,cream cheese,rolls/buns,soda,shopping bags,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,berries,yogurt,bottled water,soda,fruit/vegetable juice,chocolate,specialty bar,shopping bags,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,pip fruit,whole milk,curd,whipped/sour cream,bottled water,bottled beer,specialty chocolate,shopping bags,,,,,,,,,,,,,,,,,,,,,,,
sausage,sliced cheese,rolls/buns,brown bread,fruit/vegetable juice,canned beer,red/blush wine,waffles,shopping bags,,,,,,,,,,,,,,,,,,,,,,,
pork,pip fruit,other vegetables,butter,rice,margarine,soda,waffles,shopping bags,,,,,,,,,,,,,,,,,,,,,,,
beef,citrus fruit,tropical fruit,yogurt,UHT-milk,frozen vegetables,rolls/buns,bottled water,skin care,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,yogurt,whipped/sour cream,sliced cheese,coffee,soda,fruit/vegetable juice,hair spray,soap,,,,,,,,,,,,,,,,,,,,,,,
meat,pork,tropical fruit,whole milk,curd,rolls/buns,cat food,bottled water,soda,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,berries,root vegetables,whole milk,yogurt,cream cheese,rolls/buns,bottled water,soda,,,,,,,,,,,,,,,,,,,,,,,
pork,pip fruit,other vegetables,whole milk,curd,white bread,sugar,bottled water,soda,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,sausage,ham,grapes,other vegetables,dessert,whipped/sour cream,bottled water,soda,,,,,,,,,,,,,,,,,,,,,,,
ham,root vegetables,butter,UHT-milk,rolls/buns,pasta,sugar,coffee,soda,,,,,,,,,,,,,,,,,,,,,,,
onions,other vegetables,UHT-milk,condensed milk,cream cheese,salt,sugar,dog food,soda,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,berries,butter,butter milk,yogurt,sliced cheese,frozen vegetables,frozen chicken,soda,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,meat,pork,citrus fruit,yogurt,whipped/sour cream,frozen vegetables,frozen potato products,soda,,,,,,,,,,,,,,,,,,,,,,,
sausage,hamburger meat,tropical fruit,whole milk,sliced cheese,rolls/buns,oil,Instant food products,soda,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,whole milk,curd,yogurt,sliced cheese,mayonnaise,frozen meals,pastry,soda,,,,,,,,,,,,,,,,,,,,,,,
whole milk,yogurt,frozen meals,pasta,sauces,canned fish,cat food,pet care,soda,,,,,,,,,,,,,,,,,,,,,,,
sausage,pork,tropical fruit,root vegetables,other vegetables,whole milk,curd,rolls/buns,soda,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,yogurt,whipped/sour cream,mayonnaise,domestic eggs,canned fruit,pet care,misc. beverages,sparkling wine,,,,,,,,,,,,,,,,,,,,,,,
sausage,whole milk,yogurt,sliced cheese,rolls/buns,coffee,soda,canned beer,specialty bar,,,,,,,,,,,,,,,,,,,,,,,
hamburger meat,other vegetables,margarine,sugar,baking powder,sweet spreads,fruit/vegetable juice,chewing gum,specialty bar,,,,,,,,,,,,,,,,,,,,,,,
whole milk,yogurt,spread cheese,semi-finished bread,baking powder,soda,cake bar,chocolate,specialty bar,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,hamburger meat,pip fruit,other vegetables,butter milk,yogurt,sliced cheese,coffee,specialty bar,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,berries,onions,butter,yogurt,coffee,soda,fruit/vegetable juice,specialty bar,,,,,,,,,,,,,,,,,,,,,,,
ham,tropical fruit,butter,yogurt,processed cheese,white bread,soda,fruit/vegetable juice,specialty bar,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,tropical fruit,root vegetables,other vegetables,butter,yogurt,whipped/sour cream,salty snack,specialty bar,,,,,,,,,,,,,,,,,,,,,,,
chicken,pork,other vegetables,UHT-milk,white bread,pastry,pasta,soda,specialty bar,,,,,,,,,,,,,,,,,,,,,,,
chicken,pork,grapes,other vegetables,domestic eggs,rolls/buns,pastry,soda,specialty bar,,,,,,,,,,,,,,,,,,,,,,,
finished products,grapes,other vegetables,curd,beverages,rolls/buns,pastry,waffles,specialty bar,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,whole milk,yogurt,whipped/sour cream,rolls/buns,cocoa drinks,bottled water,bottled beer,specialty chocolate,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,tropical fruit,whole milk,yogurt,soft cheese,cat food,bottled water,chocolate,specialty chocolate,,,,,,,,,,,,,,,,,,,,,,,
chicken,other vegetables,whipped/sour cream,sliced cheese,frozen vegetables,frozen meals,fruit/vegetable juice,long life bakery product,specialty chocolate,,,,,,,,,,,,,,,,,,,,,,,
sausage,citrus fruit,pip fruit,whole milk,dessert,domestic eggs,brown bread,margarine,specialty chocolate,,,,,,,,,,,,,,,,,,,,,,,
pork,fish,whole milk,butter,curd,yogurt,whipped/sour cream,flour,sugar,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,beef,pip fruit,root vegetables,other vegetables,curd,yogurt,margarine,sugar,,,,,,,,,,,,,,,,,,,,,,,
ham,curd,dessert,beverages,UHT-milk,cream cheese,brown bread,mustard,sweet spreads,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,other vegetables,white bread,brown bread,roll products,margarine,coffee,fruit/vegetable juice,syrup,,,,,,,,,,,,,,,,,,,,,,,
turkey,nuts/prunes,other vegetables,whole milk,butter,curd,domestic eggs,pastry,tea,,,,,,,,,,,,,,,,,,,,,,,
sausage,tropical fruit,yogurt,frozen meals,cat food,bottled water,soda,bottled beer,waffles,,,,,,,,,,,,,,,,,,,,,,,
beef,pip fruit,whole milk,butter,curd,margarine,cat food,coffee,waffles,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,sausage,butter,dessert,spread cheese,white bread,pastry,coffee,waffles,,,,,,,,,,,,,,,,,,,,,,,
hamburger meat,root vegetables,yogurt,whipped/sour cream,sliced cheese,pasta,soda,nut snack,waffles,,,,,,,,,,,,,,,,,,,,,,,
sausage,meat,root vegetables,other vegetables,whole milk,butter milk,yogurt,pastry,waffles,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,root vegetables,herbs,other vegetables,butter,whipped/sour cream,mayonnaise,rum,waffles,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,tropical fruit,other vegetables,rolls/buns,bottled water,soda,fruit/vegetable juice,salty snack,waffles,,,,,,,,,,,,,,,,,,,,,,,
pork,beef,whole milk,condensed milk,domestic eggs,fruit/vegetable juice,sparkling wine,salty snack,waffles,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,dessert,yogurt,UHT-milk,frozen vegetables,frozen fish,zwieback,spices,waffles,,,,,,,,,,,,,,,,,,,,,,,
grapes,specialty cheese,pasta,coffee,bottled water,soda,canned beer,brandy,white wine,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,root vegetables,packaged fruit/vegetables,yogurt,sliced cheese,rolls/buns,white bread,brown bread,zwieback,,,,,,,,,,,,,,,,,,,,,,,
sausage,chicken,citrus fruit,berries,root vegetables,curd,beverages,abrasive cleaner,,,,,,,,,,,,,,,,,,,,,,,,
pork,berries,other vegetables,whole milk,whipped/sour cream,artif. sweetener,soda,abrasive cleaner,,,,,,,,,,,,,,,,,,,,,,,,
pip fruit,root vegetables,frozen vegetables,frozen potato products,pastry,fruit/vegetable juice,napkins,bags,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,whipped/sour cream,hard cheese,frozen vegetables,frozen dessert,oil,margarine,baking powder,,,,,,,,,,,,,,,,,,,,,,,,
pork,root vegetables,other vegetables,whole milk,whipped/sour cream,domestic eggs,pastry,baking powder,,,,,,,,,,,,,,,,,,,,,,,,
onions,other vegetables,whole milk,yogurt,whipped/sour cream,tea,cleaner,bathroom cleaner,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,root vegetables,other vegetables,whole milk,yogurt,rice,oil,bathroom cleaner,,,,,,,,,,,,,,,,,,,,,,,,
pork,root vegetables,other vegetables,whole milk,cream cheese,coffee,bottled water,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,beef,citrus fruit,whole milk,rolls/buns,semi-finished bread,coffee,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,sausage,pork,root vegetables,whole milk,yogurt,frozen meals,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,
ham,tropical fruit,other vegetables,whole milk,white bread,brown bread,fruit/vegetable juice,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,
sausage,tropical fruit,butter milk,spread cheese,tidbits,bottled water,soda,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,
sausage,citrus fruit,root vegetables,onions,curd,yogurt,whipped/sour cream,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,
turkey,root vegetables,other vegetables,whole milk,butter milk,UHT-milk,brown bread,bottled water,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,processed cheese,mayonnaise,margarine,mustard,cat food,coffee,bottled water,,,,,,,,,,,,,,,,,,,,,,,,
onions,whole milk,dessert,domestic eggs,rolls/buns,white bread,coffee,bottled water,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,berries,other vegetables,whole milk,dessert,whipped/sour cream,cream cheese,bottled water,,,,,,,,,,,,,,,,,,,,,,,,
pork,beef,root vegetables,whole milk,pasta,margarine,jam,bottled water,,,,,,,,,,,,,,,,,,,,,,,,
sausage,pip fruit,root vegetables,whole milk,spread cheese,rolls/buns,margarine,bottled water,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,chicken,turkey,beef,whole milk,brown bread,pastry,bottled water,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,other vegetables,packaged fruit/vegetables,whole milk,hard cheese,frozen dessert,rice,bottled water,,,,,,,,,,,,,,,,,,,,,,,,
sausage,pork,tropical fruit,other vegetables,yogurt,frozen vegetables,rolls/buns,bottled water,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,whole milk,soft cheese,rice,margarine,sugar,soups,bottled water,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,berries,other vegetables,whole milk,butter,yogurt,cream cheese,brown bread,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,sausage,pork,pip fruit,butter,processed cheese,white bread,brown bread,,,,,,,,,,,,,,,,,,,,,,,,
ham,citrus fruit,tropical fruit,pip fruit,root vegetables,other vegetables,whole milk,brown bread,,,,,,,,,,,,,,,,,,,,,,,,
sausage,whole milk,frozen vegetables,frozen meals,domestic eggs,rolls/buns,fruit/vegetable juice,cake bar,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,other vegetables,whole milk,dessert,white bread,bottled water,misc. beverages,cake bar,,,,,,,,,,,,,,,,,,,,,,,,
condensed milk,tidbits,rolls/buns,coffee,bottled water,soda,misc. beverages,cake bar,,,,,,,,,,,,,,,,,,,,,,,,
sausage,root vegetables,dessert,pastry,flour,sugar,soda,cake bar,,,,,,,,,,,,,,,,,,,,,,,,
soft cheese,hard cheese,bottled water,soda,liquor (appetizer),waffles,chocolate,candles,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,root vegetables,other vegetables,dessert,pastry,chocolate,dishes,candles,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,curd,frozen meals,frozen potato products,soda,bottled beer,kitchen towels,candles,,,,,,,,,,,,,,,,,,,,,,,,
chicken,pip fruit,other vegetables,butter,soft cheese,frozen vegetables,long life bakery product,candles,,,,,,,,,,,,,,,,,,,,,,,,
berries,whole milk,whipped/sour cream,pastry,soda,chewing gum,chocolate,candy,,,,,,,,,,,,,,,,,,,,,,,,
pork,whipped/sour cream,rolls/buns,oil,soda,long life bakery product,chocolate,candy,,,,,,,,,,,,,,,,,,,,,,,,
root vegetables,other vegetables,butter,rolls/buns,flour,bottled water,liquor,candy,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,sausage,curd,whipped/sour cream,frozen vegetables,jam,long life bakery product,candy,,,,,,,,,,,,,,,,,,,,,,,,
chicken,herbs,other vegetables,butter,brown bread,pastry,margarine,candy,,,,,,,,,,,,,,,,,,,,,,,,
ham,other vegetables,frozen meals,pasta,pickled vegetables,soda,misc. beverages,candy,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,whipped/sour cream,UHT-milk,salt,pasta,oil,salty snack,candy,,,,,,,,,,,,,,,,,,,,,,,,
sausage,root vegetables,packaged fruit/vegetables,yogurt,frozen potato products,brown bread,soda,candy,,,,,,,,,,,,,,,,,,,,,,,,
sausage,citrus fruit,whole milk,pastry,bottled water,soda,bottled beer,canned beer,,,,,,,,,,,,,,,,,,,,,,,,
beef,pip fruit,root vegetables,whole milk,yogurt,flour,dog food,canned beer,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,root vegetables,onions,other vegetables,butter,domestic eggs,pasta,canned beer,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,root vegetables,whole milk,frozen vegetables,domestic eggs,brown bread,semi-finished bread,canned beer,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,brown bread,pastry,pasta,margarine,sugar,soda,canned beer,,,,,,,,,,,,,,,,,,,,,,,,
meat,citrus fruit,yogurt,condensed milk,frozen vegetables,spices,meat spreads,canned fish,,,,,,,,,,,,,,,,,,,,,,,,
chicken,root vegetables,other vegetables,whole milk,frozen vegetables,domestic eggs,brown bread,canned vegetables,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,butter milk,UHT-milk,sliced cheese,cream cheese,processed cheese,specialty cheese,canned vegetables,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,pip fruit,whole milk,curd,yogurt,brown bread,pastry,cereals,,,,,,,,,,,,,,,,,,,,,,,,
curd,beverages,cream cheese,rolls/buns,pastry,soda,cake bar,chewing gum,,,,,,,,,,,,,,,,,,,,,,,,
sausage,other vegetables,curd,yogurt,soft cheese,brown bread,fruit/vegetable juice,chewing gum,,,,,,,,,,,,,,,,,,,,,,,,
hamburger meat,packaged fruit/vegetables,whole milk,whipped/sour cream,rolls/buns,bottled water,salty snack,chewing gum,,,,,,,,,,,,,,,,,,,,,,,,
sausage,tropical fruit,other vegetables,beverages,processed cheese,rolls/buns,soda,chewing gum,,,,,,,,,,,,,,,,,,,,,,,,
chicken,butter,UHT-milk,spread cheese,bottled beer,salty snack,waffles,chewing gum,,,,,,,,,,,,,,,,,,,,,,,,
sausage,tropical fruit,root vegetables,onions,other vegetables,whole milk,white bread,chewing gum,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,whole milk,frozen meals,domestic eggs,white bread,pastry,bottled beer,chocolate,,,,,,,,,,,,,,,,,,,,,,,,
root vegetables,other vegetables,whole milk,sliced cheese,frozen vegetables,frozen fish,frozen dessert,chocolate,,,,,,,,,,,,,,,,,,,,,,,,
ham,whole milk,dessert,processed cheese,bottled water,soda,fruit/vegetable juice,chocolate,,,,,,,,,,,,,,,,,,,,,,,,
berries,whole milk,curd,yogurt,rolls/buns,pastry,honey,chocolate,,,,,,,,,,,,,,,,,,,,,,,,
ham,hamburger meat,whole milk,yogurt,domestic eggs,white bread,Instant food products,chocolate,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,whole milk,pastry,flour,margarine,canned fish,long life bakery product,chocolate,,,,,,,,,,,,,,,,,,,,,,,,
sausage,ham,soft cheese,hard cheese,coffee,soda,long life bakery product,chocolate,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,whole milk,yogurt,processed cheese,frozen vegetables,rolls/buns,margarine,chocolate,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,pip fruit,berries,whole milk,frozen potato products,rolls/buns,pickled vegetables,chocolate,,,,,,,,,,,,,,,,,,,,,,,,
beef,citrus fruit,tropical fruit,pip fruit,dessert,cream cheese,rolls/buns,chocolate,,,,,,,,,,,,,,,,,,,,,,,,
pip fruit,other vegetables,whole milk,beverages,frozen vegetables,flour,sugar,chocolate,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,hamburger meat,whole milk,coffee,bottled water,bottled beer,waffles,chocolate,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,margarine,bottled water,rum,red/blush wine,long life bakery product,waffles,chocolate,,,,,,,,,,,,,,,,,,,,,,,,
chicken,tropical fruit,whole milk,pastry,soda,long life bakery product,waffles,chocolate,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,rice,canned fish,cocoa drinks,bottled beer,red/blush wine,waffles,chocolate,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,other vegetables,mayonnaise,frozen vegetables,brown bread,pickled vegetables,canned fish,chocolate marshmallow,,,,,,,,,,,,,,,,,,,,,,,,
ham,whole milk,domestic eggs,pastry,oil,baking powder,chewing gum,chocolate marshmallow,,,,,,,,,,,,,,,,,,,,,,,,
butter,spread cheese,ice cream,rolls/buns,soda,long life bakery product,chocolate,chocolate marshmallow,,,,,,,,,,,,,,,,,,,,,,,,
onions,whole milk,curd,yogurt,hard cheese,domestic eggs,bottled water,cleaner,,,,,,,,,,,,,,,,,,,,,,,,
hamburger meat,herbs,other vegetables,butter,whipped/sour cream,soda,dish cleaner,cleaner,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,citrus fruit,other vegetables,whole milk,yogurt,zwieback,vinegar,cleaner,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,other vegetables,whole milk,curd,frozen fish,domestic eggs,baking powder,cling film/bags,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,beef,other vegetables,pasta,margarine,canned fish,dishes,cling film/bags,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,other vegetables,whole milk,butter,yogurt,soft cheese,domestic eggs,cling film/bags,,,,,,,,,,,,,,,,,,,,,,,,
sausage,other vegetables,yogurt,whipped/sour cream,cream cheese,soda,hygiene articles,cling film/bags,,,,,,,,,,,,,,,,,,,,,,,,
onions,bottled water,soda,canned beer,chewing gum,male cosmetics,napkins,cling film/bags,,,,,,,,,,,,,,,,,,,,,,,,
yogurt,condensed milk,sliced cheese,rolls/buns,margarine,bottled water,soda,cling film/bags,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,meat,tropical fruit,onions,oil,baking powder,tea,cling film/bags,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,whole milk,domestic eggs,pastry,salt,oil,sugar,cocoa drinks,,,,,,,,,,,,,,,,,,,,,,,,
pork,hamburger meat,other vegetables,whole milk,whipped/sour cream,frozen meals,baking powder,coffee,,,,,,,,,,,,,,,,,,,,,,,,
root vegetables,herbs,other vegetables,cream cheese,frozen vegetables,jam,canned fish,coffee,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,whole milk,curd,whipped/sour cream,domestic eggs,brown bread,flour,coffee,,,,,,,,,,,,,,,,,,,,,,,,
chicken,tropical fruit,pip fruit,other vegetables,whole milk,whipped/sour cream,frozen vegetables,coffee,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,other vegetables,whole milk,yogurt,cream cheese,rolls/buns,pastry,coffee,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,root vegetables,whole milk,butter,curd,yogurt,pudding powder,coffee,,,,,,,,,,,,,,,,,,,,,,,,
pip fruit,other vegetables,butter milk,specialty cheese,frozen vegetables,white bread,sugar,coffee,,,,,,,,,,,,,,,,,,,,,,,,
beef,tropical fruit,root vegetables,other vegetables,whole milk,curd,domestic eggs,cooking chocolate,,,,,,,,,,,,,,,,,,,,,,,,
pork,beef,frozen vegetables,frozen meals,potato products,margarine,napkins,cookware,,,,,,,,,,,,,,,,,,,,,,,,
sausage,ham,chicken,other vegetables,whole milk,butter,whipped/sour cream,cream cheese,,,,,,,,,,,,,,,,,,,,,,,,
sausage,hamburger meat,pip fruit,other vegetables,butter milk,mayonnaise,frozen vegetables,dental care,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,butter,dessert,processed cheese,white bread,pickled vegetables,seasonal products,dental care,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,curd,butter milk,beverages,tidbits,long life bakery product,waffles,dental care,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,other vegetables,rolls/buns,white bread,soda,white wine,chocolate,detergent,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,whole milk,butter,domestic eggs,waffles,candy,seasonal products,detergent,,,,,,,,,,,,,,,,,,,,,,,,
meat,citrus fruit,root vegetables,whole milk,dessert,yogurt,waffles,detergent,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,butter milk,whipped/sour cream,ice cream,brown bread,specialty chocolate,candy,dish cleaner,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,other vegetables,yogurt,UHT-milk,soft cheese,domestic eggs,rolls/buns,dish cleaner,,,,,,,,,,,,,,,,,,,,,,,,
chicken,hamburger meat,herbs,dessert,beverages,oil,soda,dish cleaner,,,,,,,,,,,,,,,,,,,,,,,,
pip fruit,other vegetables,whole milk,domestic eggs,pastry,pasta,soups,dish cleaner,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,whole milk,yogurt,whipped/sour cream,baking powder,misc. beverages,sparkling wine,dish cleaner,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,other vegetables,whole milk,curd,frozen potato products,zwieback,specialty bar,dish cleaner,,,,,,,,,,,,,,,,,,,,,,,,
hamburger meat,other vegetables,yogurt,brown bread,pastry,cat food,abrasive cleaner,dishes,,,,,,,,,,,,,,,,,,,,,,,,
root vegetables,other vegetables,whole milk,frozen fish,honey,Instant food products,canned fish,dishes,,,,,,,,,,,,,,,,,,,,,,,,
sausage,ham,yogurt,sugar,misc. beverages,abrasive cleaner,cleaner,dishes,,,,,,,,,,,,,,,,,,,,,,,,
turkey,root vegetables,other vegetables,whole milk,rolls/buns,bottled water,detergent,dishes,,,,,,,,,,,,,,,,,,,,,,,,
meat,tropical fruit,other vegetables,frozen vegetables,rolls/buns,soda,napkins,dishes,,,,,,,,,,,,,,,,,,,,,,,,
sausage,pork,tropical fruit,other vegetables,yogurt,bottled beer,red/blush wine,dishes,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,butter milk,rolls/buns,oil,bottled water,fruit/vegetable juice,softener,dishes,,,,,,,,,,,,,,,,,,,,,,,,
chicken,tropical fruit,berries,whole milk,whipped/sour cream,beverages,sugar,dishes,,,,,,,,,,,,,,,,,,,,,,,,
pork,other vegetables,whipped/sour cream,rolls/buns,brown bread,pastry,sugar,dishes,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,yogurt,processed cheese,rolls/buns,bottled water,soda,misc. beverages,female sanitary products,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,tropical fruit,baking powder,fruit/vegetable juice,waffles,specialty bar,candles,flower (seeds),,,,,,,,,,,,,,,,,,,,,,,,
sausage,beef,beverages,sliced cheese,rolls/buns,spices,house keeping products,flower (seeds),,,,,,,,,,,,,,,,,,,,,,,,
hamburger meat,root vegetables,other vegetables,whole milk,rolls/buns,zwieback,margarine,flower (seeds),,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,whole milk,frozen vegetables,frozen dessert,soups,soda,napkins,flower (seeds),,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,butter,yogurt,domestic eggs,pastry,bottled beer,specialty bar,flower (seeds),,,,,,,,,,,,,,,,,,,,,,,,
meat,other vegetables,whole milk,rolls/buns,sugar,coffee,bottled water,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,tropical fruit,grapes,dessert,cream cheese,rolls/buns,bottled water,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,
root vegetables,other vegetables,whole milk,butter,frozen vegetables,sugar,bottled water,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,
turkey,packaged fruit/vegetables,butter milk,UHT-milk,rolls/buns,zwieback,bottled water,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,
sausage,root vegetables,other vegetables,whole milk,yogurt,beverages,brown bread,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,
pip fruit,other vegetables,curd,yogurt,whipped/sour cream,sugar,canned vegetables,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,
ham,butter,yogurt,hard cheese,ice cream,domestic eggs,misc. beverages,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,citrus fruit,whole milk,yogurt,sliced cheese,specialty cheese,pastry,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,
